optimizer,learning_rate,weight_decay,momentum,seed,resolved_seed,validation_accuracy,validation_loss,best_validation_epoch,training_time_seconds,uses_test_split
SGD,0.001,0.005,0.0,43,1017605040,0.15,1.9454823732376099,5,2.7534284760185983,False
SGD,0.001,0.005,0.0,44,1001620071,0.116,1.945975661277771,42,2.760837937006727,False
SGD,0.001,0.005,0.9,42,814859128,0.242,1.9427434206008911,1,2.659193781990325,False
SGD,0.001,0.005,0.9,43,1017605040,0.088,1.9455145597457886,2,3.523151940025855,False
SGD,0.001,0.005,0.9,44,1001620071,0.056,1.9460140466690063,1,2.7940402420063037,False
SGD,0.003,0.0,0.0,42,814859128,0.28,1.9432469606399536,98,2.624698466999689,False
SGD,0.003,0.0,0.0,43,1017605040,0.12,1.945564866065979,1,2.9655963580007665,False
SGD,0.003,0.0,0.0,44,1001620071,0.1,1.9457520246505737,12,2.661897157988278,False
SGD,0.003,0.0,0.9,42,814859128,0.236,1.942244291305542,4,2.8307017250044737,False
SGD,0.003,0.0,0.9,43,1017605040,0.13,1.9438236951828003,1,2.6727081959834322,False
SGD,0.003,0.0,0.9,44,1001620071,0.064,1.9464216232299805,1,2.597460471006343,False
SGD,0.003,0.0005,0.0,42,814859128,0.28,1.9432485103607178,98,2.686065134999808,False
SGD,0.003,0.0005,0.0,43,1017605040,0.12,1.9455652236938477,1,2.6967636799963657,False
SGD,0.003,0.0005,0.0,44,1001620071,0.1,1.9457520246505737,12,2.7617204879934434,False
SGD,0.003,0.0005,0.9,42,814859128,0.234,1.942231297492981,4,2.7007281679834705,False
SGD,0.003,0.0005,0.9,43,1017605040,0.128,1.943835735321045,1,2.6315620859968476,False
SGD,0.003,0.0005,0.9,44,1001620071,0.064,1.9464173316955566,1,3.4899795269884635,False
SGD,0.003,0.005,0.0,42,814859128,0.28,1.9432628154754639,98,2.7181314209883567,False
SGD,0.003,0.005,0.0,43,1017605040,0.12,1.945566177368164,1,3.1283020440023392,False
SGD,0.003,0.005,0.0,44,1001620071,0.1,1.9457526206970215,12,2.6586684069770854,False
SGD,0.003,0.005,0.9,42,814859128,0.234,1.9424294233322144,4,2.662332467996748,False
SGD,0.003,0.005,0.9,43,1017605040,0.124,1.9439564943313599,1,2.6890756899956614,False
SGD,0.003,0.005,0.9,44,1001620071,0.064,1.9463860988616943,1,2.7321431369928177,False
SGD,0.01,0.0,0.0,42,814859128,0.246,1.942686915397644,29,2.679893913998967,False
SGD,0.01,0.0,0.0,43,1017605040,0.088,1.945419192314148,1,2.670858268014854,False
SGD,0.01,0.0,0.0,44,1001620071,0.056,1.9459717273712158,1,2.6923385669942945,False
SGD,0.01,0.0,0.9,42,814859128,0.33,1.9407198429107666,161,2.8125369290064555,False
SGD,0.01,0.0,0.9,43,1017605040,0.212,1.9400620460510254,200,3.014792612986639,False
SGD,0.01,0.0,0.9,44,1001620071,0.178,1.9460774660110474,200,2.703722539008595,False
SGD,0.01,0.0005,0.0,42,814859128,0.246,1.9426935911178589,29,5.826845167001011,False
SGD,0.01,0.0005,0.0,43,1017605040,0.088,1.9454209804534912,1,3.0251958700246178,False
SGD,0.01,0.0005,0.0,44,1001620071,0.056,1.9459716081619263,1,2.6512559260008857,False
SGD,0.01,0.0005,0.9,42,814859128,0.326,1.9408560991287231,161,2.682483485987177,False
SGD,0.01,0.0005,0.9,43,1017605040,0.23,1.9398287534713745,200,2.766990689007798,False
SGD,0.01,0.0005,0.9,44,1001620071,0.178,1.9461112022399902,200,2.6998677890223917,False
SGD,0.01,0.005,0.0,42,814859128,0.246,1.9427493810653687,29,2.6352637649979442,False
SGD,0.01,0.005,0.0,43,1017605040,0.088,1.9454345703125,1,2.6750171490130015,False
SGD,0.01,0.005,0.0,44,1001620071,0.056,1.9459686279296875,1,2.714327247987967,False
SGD,0.01,0.005,0.9,42,814859128,0.324,1.9416625499725342,198,2.767467195983045,False
SGD,0.01,0.005,0.9,43,1017605040,0.22,1.9406449794769287,200,2.855371785000898,False
SGD,0.01,0.005,0.9,44,1001620071,0.176,1.9462205171585083,200,2.7130682519928087,False
SGD,0.03,0.0,0.0,42,814859128,0.236,1.9419035911560059,18,2.9245425359986257,False
SGD,0.03,0.0,0.0,43,1017605040,0.132,1.9437214136123657,1,3.3284202500071842,False
SGD,0.03,0.0,0.0,44,1001620071,0.066,1.9464207887649536,1,2.6955562089860905,False
SGD,0.03,0.0,0.9,42,814859128,0.306,1.9347575902938843,29,2.7348465510003734,False
SGD,0.03,0.0,0.9,43,1017605040,0.224,1.933671236038208,166,2.6618563270021696,False
SGD,0.03,0.0,0.9,44,1001620071,0.426,1.9321712255477905,200,2.742320440011099,False
SGD,0.03,0.0005,0.0,42,814859128,0.236,1.9419270753860474,18,3.0494542490050662,False
SGD,0.03,0.0005,0.0,43,1017605040,0.132,1.94373619556427,1,2.7757615669979714,False
SGD,0.03,0.0005,0.0,44,1001620071,0.066,1.94642174243927,1,2.746293223986868,False
SGD,0.03,0.0005,0.9,42,814859128,0.304,1.9354732036590576,29,2.7039357429894153,False
SGD,0.03,0.0005,0.9,43,1017605040,0.228,1.9342143535614014,166,2.640383216988994,False
SGD,0.03,0.0005,0.9,44,1001620071,0.422,1.9326688051223755,200,2.66508336699917,False
SGD,0.03,0.005,0.0,42,814859128,0.232,1.9421643018722534,18,2.7867821069958154,False
SGD,0.03,0.005,0.0,43,1017605040,0.116,1.9440431594848633,1,3.6013579560094513,False
SGD,0.03,0.005,0.0,44,1001620071,0.066,1.9464030265808105,1,2.741622424015077,False
SGD,0.03,0.005,0.9,42,814859128,0.268,1.9392240047454834,16,2.7278793079894967,False
SGD,0.03,0.005,0.9,43,1017605040,0.228,1.9381604194641113,166,2.6184250509832054,False
SGD,0.03,0.005,0.9,44,1001620071,0.364,1.9374265670776367,200,2.7026415939908475,False
