dataset,protocol,robustness_setting,optimizer,perturbation_type,requested_severity,n_seeds,mean_test_accuracy,std_test_accuracy,ci95_test_accuracy_half_width,mean_macro_f1,std_macro_f1,ci95_macro_f1_half_width,clean_to_perturbed_accuracy_drop,robustness_score_auc
Cora,fixed,training_time,AdamW,edge_removal,0.05,10,0.7815,0.011443,0.007093,0.775525,0.009584,0.00594,0.0059,0.759797
Cora,fixed,training_time,AdamW,edge_removal,0.1,10,0.769,0.013573,0.008413,0.762513,0.01196,0.007413,0.0184,0.759797
Cora,fixed,training_time,AdamW,edge_removal,0.2,10,0.759467,0.008348,0.004225,0.751164,0.009192,0.004652,0.027933,0.759797
Cora,fixed,training_time,AdamW,edge_removal,0.3,10,0.7358,0.015626,0.009685,0.728886,0.013658,0.008465,0.0516,0.759797
Cora,fixed,training_time,AdamW,fake_edge_addition,0.05,10,0.7706,0.010967,0.006797,0.76334,0.010853,0.006727,0.0168,0.745823
Cora,fixed,training_time,AdamW,fake_edge_addition,0.1,10,0.7673,0.011691,0.007246,0.758084,0.010635,0.006592,0.0201,0.745823
Cora,fixed,training_time,AdamW,fake_edge_addition,0.2,10,0.735133,0.010816,0.005474,0.727386,0.01227,0.00621,0.052267,0.745823
Cora,fixed,training_time,AdamW,fake_edge_addition,0.3,10,0.7226,0.013525,0.008383,0.713384,0.011319,0.007016,0.0648,0.745823
Cora,fixed,training_time,AdamW,feature_masking,0.05,10,0.7808,0.010141,0.006286,0.774728,0.009302,0.005766,0.0066,0.773663
Cora,fixed,training_time,AdamW,feature_masking,0.1,10,0.7763,0.006977,0.004324,0.770319,0.007348,0.004554,0.0111,0.773663
Cora,fixed,training_time,AdamW,feature_masking,0.2,10,0.774133,0.012322,0.006236,0.766511,0.01225,0.006199,0.013267,0.773663
Cora,fixed,training_time,AdamW,feature_masking,0.3,10,0.7652,0.012568,0.00779,0.757769,0.010387,0.006438,0.0222,0.773663
Cora,fixed,training_time,RMSProp,clean,0.0,10,0.807867,0.010875,0.005504,0.797926,0.008695,0.0044,0.0,0.807867
Cora,fixed,training_time,RMSProp,edge_removal,0.05,10,0.8016,0.008859,0.005491,0.791535,0.00824,0.005107,0.006267,0.789207
Cora,fixed,training_time,RMSProp,edge_removal,0.1,10,0.7936,0.011806,0.007317,0.781903,0.012866,0.007974,0.014267,0.789207
Cora,fixed,training_time,RMSProp,edge_removal,0.2,10,0.789067,0.010201,0.005163,0.777967,0.01157,0.005855,0.0188,0.789207
Cora,fixed,training_time,RMSProp,edge_removal,0.3,10,0.7767,0.010985,0.006809,0.765277,0.01235,0.007655,0.031167,0.789207
Cora,fixed,training_time,RMSProp,fake_edge_addition,0.05,10,0.7974,0.010013,0.006206,0.787197,0.008587,0.005323,0.010467,0.770667
Cora,fixed,training_time,RMSProp,fake_edge_addition,0.1,10,0.7834,0.010405,0.006449,0.774524,0.008002,0.00496,0.024467,0.770667
Cora,fixed,training_time,RMSProp,fake_edge_addition,0.2,10,0.767067,0.010082,0.005102,0.75866,0.009716,0.004917,0.0408,0.770667
Cora,fixed,training_time,RMSProp,fake_edge_addition,0.3,10,0.7454,0.017135,0.01062,0.733597,0.018474,0.011451,0.062467,0.770667
Cora,fixed,training_time,RMSProp,feature_masking,0.05,10,0.8004,0.004502,0.00279,0.789403,0.005226,0.003239,0.007467,0.795487
Cora,fixed,training_time,RMSProp,feature_masking,0.1,10,0.7968,0.010337,0.006407,0.78743,0.010562,0.006546,0.011067,0.795487
Cora,fixed,training_time,RMSProp,feature_masking,0.2,10,0.797267,0.013387,0.006775,0.787079,0.01239,0.00627,0.0106,0.795487
