optimizer,epoch,n_seeds,mean_gradient_l2_norm,std_gradient_l2_norm,mean_train_loss,mean_validation_loss,mean_validation_accuracy
Adam,171,10,0.150662,0.02497,0.362822,0.857404,0.7842
Adam,172,10,0.13648,0.0103,0.368611,0.854778,0.785
Adam,173,10,0.146947,0.045101,0.355585,0.852395,0.7868
Adam,174,10,0.140015,0.033878,0.360151,0.850755,0.7878
Adam,175,10,0.142981,0.030346,0.360756,0.849423,0.7884
Adam,176,10,0.146618,0.031838,0.345745,0.848563,0.7882
Adam,177,10,0.13685,0.025742,0.35121,0.848012,0.7894
Adam,178,10,0.139025,0.01892,0.347731,0.847191,0.7886
Adam,179,10,0.130332,0.027579,0.346802,0.846242,0.7888
Adam,180,10,0.141928,0.022594,0.35453,0.845134,0.787
Adam,181,10,0.149846,0.036187,0.352319,0.842798,0.7874
Adam,182,10,0.150526,0.028577,0.349614,0.840781,0.7866
Adam,183,10,0.140105,0.035175,0.358155,0.839863,0.7888
Adam,184,10,0.137507,0.020467,0.348748,0.839454,0.7876
Adam,185,10,0.134669,0.024051,0.338344,0.838965,0.785
Adam,186,10,0.13113,0.027061,0.337896,0.839314,0.7868
Adam,187,10,0.148966,0.035976,0.344874,0.839022,0.7866
Adam,188,10,0.130972,0.032063,0.335601,0.838428,0.787
Adam,189,10,0.134106,0.025141,0.349432,0.837862,0.787
Adam,190,10,0.137548,0.020297,0.326029,0.837527,0.787
Adam,191,10,0.150756,0.024932,0.355661,0.836852,0.7854
Adam,192,10,0.136119,0.028,0.335225,0.835726,0.786
Adam,193,10,0.123446,0.027912,0.328555,0.834333,0.7866
Adam,194,10,0.138803,0.030907,0.326551,0.832324,0.7866
Adam,195,10,0.148132,0.020708,0.335565,0.830735,0.7866
Adam,196,10,0.138823,0.029602,0.333242,0.82882,0.7872
Adam,197,10,0.142466,0.03363,0.335997,0.827728,0.7886
Adam,198,10,0.139151,0.014809,0.313625,0.826791,0.789
Adam,199,10,0.133435,0.023878,0.326836,0.825452,0.7906
Adam,200,10,0.142608,0.035661,0.319961,0.824378,0.7894
AdamW,1,10,0.071508,0.018955,1.946288,1.944059,0.1844
AdamW,2,10,0.050916,0.01205,1.940966,1.940543,0.2996
